precinct,latitude,longitude,Neighborhood
4171107648,40.197055,-105.100351,Lanyon
2171207308,39.996986,-105.084938,Old Town
2173307410,40.039912,-105.081393,Erie
2181007833,40.010846,-105.275199,Boulder
4171107630,40.182121,-105.09703,Clark Centennial
4171107640,40.188999,-105.153594,McIntosh
2171207213,39.992049,-105.130121,Hecla
2171207307,39.992107,-105.084021,Lafayette
2181307878,40.012139,-105.292807,Flatirons
2181007837,40.00931,-105.256693,Baseline
2171207313,39.996494,-105.11653,Lafayette
2181207406,40.037184,-105.124435,Lafayette-Louisville
4171107637,40.173787,-105.142834,Longmont Estates
4171107633,40.181486,-105.098661,Clark Centennial
2181007808,40.059404,-105.277919,North Broadway - Holiday
2181007835,40.002148,-105.263655,Boulder
2181007500,40.051147,-105.188384,Boulder
2171207310,40.008801,-105.098133,Lafayette
2181007841,40.012666,-105.231075,East Foothills
2181107912,40.095664,-105.325386,Lazy Acres
2181307911,40.057186,-105.317609,Pine Brook Hills
2181107703,40.163004,-105.209095,Longmont
2171207212,39.950948,-105.159078,Superior
4171107651,40.196666,-105.122634,Garden Acres
2173307412,40.018213,-105.087285,Erie
4171107625,40.169341,-105.116369,Sunset
4171107620,40.159043,-105.212558,Longmont
4171207606,40.177922,-105.079147,Clark Centennial
2181307872,40.002532,-105.267356,The Hill
2181007814,40.031883,-105.240572,Noble Park
4171107623,40.163094,-105.093407,Downtown Longmont
2181307904,39.963272,-105.433143,Bald Mountain
4171107639,40.181887,-105.140833,Longmont Estates
2181007838,40.009274,-105.253324,Boulder
4171107632,40.186051,-105.07704,East Side
2163307100,39.9286,-105.155487,Rock Creek Ranch
2171207309,40.010343,-105.0905,Lafayette
2163307106,39.943575,-105.151644,Rock Creek Ranch
2181307879,40.011785,-105.282368,The Hill
2173307409,40.037691,-105.074212,Erie
4171107629,40.176872,-105.105881,Loomitter
4171207614,40.13587,-105.106978,Prospect New Town
2181007803,40.061148,-105.210808,Gunbarrel
2171207201,39.96761,-105.140214,South Louisville
2181007823,40.015076,-105.247502,Transit Village
4171107617,40.139797,-105.151733,Upper Clover Basin
2181007831,40.018057,-105.270695,Whittier
2181007851,39.998328,-105.236785,Frasier Meadows
2181307866,39.988541,-105.253439,Table Mesa North
2181307882,40.017885,-105.29023,Mapleton Hill
2181207404,40.013143,-105.142929,Lafayette-Louisville
4171107650,40.201071,-105.116391,Garden Acres
2181307910,40.015067,-105.289958,Downtown Boulder
2171207312,40.002687,-105.115661,Lafayette
2181007853,39.988668,-105.233714,Frasier Meadows
4171107627,40.180109,-105.129304,Loomitter
4171207608,40.175754,-105.085601,Clark Centennial
2181007829,40.01819,-105.266722,Whittier
4171107624,40.168273,-105.108909,Sunset
2171207305,39.98865,-105.09906,Lafayette
2181207401,39.977267,-105.175747,Paragon Estates
2163307103,39.9355,-105.149213,Rock Creek Ranch
2181007822,40.03427,-105.252784,Glenwood Grove - North Iris
2171207306,39.99285,-105.099722,Lafayette
2171207302,39.9836,-105.107003,Lafayette
2181307908,40.0127,-105.351873,Tall Timber
4171207604,40.171529,-105.073788,Kensington
4171207657,40.1866,-105.059731,East Side
2181007850,39.998051,-105.24445,Pinon
2181307873,39.998477,-105.272239,East Chautauqua
4171107655,40.135008,-105.16285,Lower Clover Basin
2181307857,39.971865,-105.254683,Rolling Hills
2181007502,40.061282,-105.187534,Gunbarrel
2181007800,40.071859,-105.184763,Gunbarrel
2171207407,40.086907,-105.064795,Longmont
4171107642,40.193701,-105.120377,Garden Acres
4171207656,40.142559,-105.096985,Quail
2181107918,40.220627,-105.255338,Lyons
2181307915,40.159633,-105.456267,Upper St. Vrain
2173307411,40.031927,-105.07656,Erie
4171107628,40.177482,-105.113897,Loomitter
2181007806,40.060601,-105.284816,Boulder
2181307859,39.974962,-105.26457,Devil's Thumb
4171207603,40.173912,-105.056109,East Side
2181007846,40.005621,-105.25754,Baseline
2181007501,40.060937,-105.191274,Gunbarrel
4171207612,40.146622,-105.117106,South Industrial Longmont
2181307905,39.937108,-105.349553,Bald Mountain
2171207311,39.997544,-105.103651,Lafayette
2181307919,39.965987,-105.512477,Nederland
2181007816,40.038112,-105.259913,Parkside
2181307854,39.986183,-105.237114,South 45th
2181307880,40.013042,-105.279037,The Hill
2181007804,40.058474,-105.212948,Gunbarrel
2171207204,39.964771,-105.160615,Fireside
2171207200,39.95653,-105.148508,Coal Creek
2161307902,39.95539,-105.513731,Nederland
2173307408,40.062351,-105.059462,Erie
2181007845,40.006027,-105.24596,East Aurora
2181007852,39.98883,-105.228151,Keewaydin
2181307870,39.992549,-105.251479,Martin Acres
2181107508,40.102444,-105.162672,Niwot
2181007812,40.041902,-105.253543,Boulder
2181007826,40.024369,-105.276723,Whittier
2181007849,39.997265,-105.250782,Williams Village
2181007811,40.047181,-105.252699,Boulder
4171207602,40.178164,-105.064408,East Side
4171107619,40.150833,-105.163958,Upper Clover Basin
2181007836,40.012304,-105.262577,University Heights
2171207209,39.978162,-105.160139,Hillside
2181307860,39.971306,-105.25678,Rolling Hills
2181007819,40.033227,-105.273365,Old North Boulder
4181107707,40.207694,-105.13653,Longmont
2181307884,40.020222,-105.283536,Mapleton Hill
2181007815,40.038139,-105.257332,Glenwood Grove - North Iris
2181307862,39.975487,-105.252335,Table Mesa South
2171207301,39.982345,-105.086668,Lafayette
2181207403,40.003553,-105.196908,Cherryvale - Hoover Hills
4171207615,40.132663,-105.12982,Pike
2181207402,39.988064,-105.176115,Paragon Estates
2181007828,40.020083,-105.265892,Whittier
2181007809,40.049847,-105.280136,Norwood-Quince
4171107622,40.166104,-105.114072,Sunset
2181007824,40.026511,-105.265847,Panorama Heights
2181007847,40.00209,-105.254997,Baseline
2171207316,40.016738,-105.12497,Lafayette
4171107626,40.171778,-105.119217,Sunset
2171207215,39.994692,-105.141421,North Louisville
4171207613,40.139287,-105.111714,Southmoor
2181007842,40.013148,-105.224483,East Foothills
2181107917,40.216033,-105.262371,Lyons
2181007818,40.040155,-105.278369,Catalpa Park
2171207205,39.966653,-105.155662,Fireside
2161307900,39.947542,-105.241992,Eldorado Springs
2171207300,39.982522,-105.133733,Old Town
4171107649,40.200808,-105.105542,Garden Acres
2171207207,39.97666,-105.14005,Old Town
4171207609,40.166735,-105.092508,Kensington
4171207610,40.150258,-105.089748,Quail
4171207611,40.150755,-105.110283,Southmoor
2181307855,39.983037,-105.237495,Tantra Park
2171207203,39.97169,-105.166817,Hillside
2181307903,39.986864,-105.448398,St. Ann Highlands
2173307413,40.035772,-105.066891,Erie
2181307856,39.980959,-105.241419,Majestic Heights
2181307871,39.996631,-105.253307,Martin Acres
2181007840,40.014177,-105.234181,East Foothills
2181007830,40.017002,-105.26589,Goss - Grove
2181307914,40.114006,-105.387601,Jamestown
4171207601,40.18741,-105.070511,East Side
2171207314,39.996346,-105.136299,Lafayette
2181107913,40.132254,-105.286431,Altona
2181307864,39.982355,-105.252235,Table Mesa South
2163307101,39.917833,-105.154629,Rock Creek Ranch
2181307868,39.982639,-105.262494,Table Mesa North
4171107621,40.166626,-105.118134,Sunset
2181007834,40.002148,-105.263655,Boulder
2181007827,40.021507,-105.274471,Whittier
2181107506,40.091935,-105.15641,Niwot
4171107616,40.140673,-105.142442,Schlagel
2181007843,39.999748,-105.226842,Keewaydin East
2181307876,40.007908,-105.278339,The Hill
4171107645,40.19153,-105.089014,Lanyon
2181007801,40.074461,-105.202844,Gunbarrel
2181207405,40.018635,-105.14216,Boulder
2163307102,39.931943,-105.139829,Superior
4171107635,40.186027,-105.125478,Loomitter
2181307887,40.03803,-105.285135,Juniper-Kalmia
4171107652,40.202254,-105.128327,Garden Acres
2181107507,40.103716,-105.150955,Niwot
2181107700,40.096739,-105.249089,Boulder
2163307107,39.950024,-105.167691,Superior
4171207605,40.176955,-105.069384,East Side
2181007820,40.034468,-105.272152,Old North Boulder
2171207208,39.973009,-105.148602,Fireside
2181307858,39.966905,-105.252306,Shanahan Ridge
4171207607,40.169418,-105.081166,Kensington
4171107643,40.191392,-105.105191,Midtown
2181007821,40.029392,-105.261298,Glenwood Grove - North Iris
4171107646,40.189372,-105.080896,East Side
2181307906,39.973377,-105.339834,Bald Mountain
2181307877,40.006272,-105.281756,The Hill
2181307888,40.047296,-105.293857,Wonderland Hills
2161307901,39.917182,-105.390442,Coal Creek
2181007848,40.000624,-105.247147,East Aurora
2171207210,39.983405,-105.154473,Davidson Mesa
2181307909,40.040543,-105.352418,Bald Mountain
2181307875,40.005166,-105.27292,The Hill
2173307414,40.017206,-105.058594,Erie
2171207206,39.972529,-105.133252,Old Town
2181007844,40.001621,-105.237279,Park East
4171107634,40.187336,-105.10884,Loomitter
2171207202,39.959616,-105.159117,Coal Creek
2181007825,40.02734,-105.277788,Old North Boulder
2181107916,40.182905,-105.473342,Allenspark
2181107702,40.117921,-105.181819,Longmont
2181107701,40.102118,-105.212821,Boulder
2181007832,40.021373,-105.276653,Whittier
4171107653,40.196914,-105.134522,McIntosh
2181307874,40.003303,-105.27831,The Hill
2181307883,40.021036,-105.289817,Mapleton Hill
2181307867,39.985669,-105.253471,Table Mesa North
4171107647,40.20021,-105.076627,East Side
4171107654,40.201113,-105.149506,McIntosh
4171107644,40.195196,-105.099273,Lanyon
2181107705,40.191399,-105.178244,Longmont
4171207600,40.199225,-105.072704,East Side
2173307400,39.960399,-105.058738,Lafayette-Louisville
4171107618,40.146246,-105.151967,Upper Clover Basin
2171207211,39.980269,-105.137149,Old Town
4171107638,40.181218,-105.147702,Longmont Estates
4181107708,40.219597,-105.085747,Longmont
2181307865,39.984017,-105.24705,Majestic Heights
2181007813,40.033979,-105.236179,Noble Park
2181007503,40.059138,-105.163665,Gunbarrel
4171107631,40.176604,-105.088648,Clark Centennial
2181007807,40.051823,-105.285646,North Wonderland
2181007802,40.066828,-105.201942,Gunbarrel
2181107505,40.098522,-105.167584,Niwot
4171107636,40.18826,-105.135753,Longmont Estates
2181007810,40.048477,-105.259596,Sundance
2171207304,39.990388,-105.110456,Lafayette
2181107704,40.123353,-105.258856,Longmont
2181307886,40.030459,-105.282374,Newlands
2181307881,40.014017,-105.281826,The Hill
2181007817,40.041059,-105.271063,Carolyn Heights
2163307104,39.931813,-105.157965,Rock Creek Ranch
2171207303,39.984785,-105.11433,Lafayette
2181307885,40.027801,-105.291204,Newlands
2171207315,40.006322,-105.128801,Lafayette
2181307863,39.980945,-105.257576,Table Mesa North
2181307869,39.996334,-105.269127,East Chautauqua
2171207214,39.98723,-105.143786,North Louisville
2181007805,40.052904,-105.245415,Boulder
2181007839,40.013067,-105.238272,East Foothills
4171107641,40.1905,-105.133624,McIntosh
2163307105,39.939386,-105.140769,Superior
2181007504,40.074176,-105.187435,Gunbarrel
2181307861,39.976625,-105.248451,Table Mesa South
4181107706,40.20293,-105.173204,Longmont
