precinct_name,active_voters,total_ballots
2163307100,1547,1399
2163307101,1385,1296
2163307102,1171,1002
2163307103,1212,1110
2163307104,1146,1066
2163307105,493,442
2163307106,1088,1006
2163307107,1056,963
2171207200,664,621
2171207201,712,662
2171207202,1151,1067
2171207203,1034,976
2171207204,1004,953
2171207205,985,912
2171207206,578,550
2171207207,989,934
2171207208,1109,1052
2171207209,627,601
2171207210,934,895
2171207211,1113,1003
2171207212,1510,1364
2171207213,1405,1328
2171207214,1267,1185
2171207215,907,829
2171207300,1809,1601
2171207301,1690,1464
2171207302,1906,1778
2171207303,955,856
2171207304,970,907
2171207305,1155,1029
2171207306,1229,1109
2171207307,1318,1071
2171207308,1083,984
2171207309,1139,1067
2171207310,1496,1380
2171207311,860,778
2171207312,1025,969
2171207313,1332,1256
2171207314,1492,1415
2171207315,856,796
2171207316,1260,1172
2173307400,128,119
2181207401,751,697
2181207402,656,614
2181207403,975,894
2181207404,990,911
2181207405,490,454
2181207406,758,697
2171207407,484,433
2173307408,1414,1285
2173307409,1805,1650
2173307410,1214,1143
2173307411,1402,1327
2173307412,1353,1238
2173307413,1440,1304
2173307414,1226,1151
2181007500,941,860
2181007501,931,880
2181007502,1044,983
2181007503,1518,1410
2181007504,750,706
2181107505,910,844
2181107506,627,582
2181107507,1274,1189
2181107508,765,718
4171207600,1455,1314
4171207601,1263,1145
4171207602,873,803
4171207603,1446,1307
4171207604,1029,900
4171207605,1151,1014
4171207606,1041,881
4171207607,1100,964
4171207608,1046,843
4171207609,612,478
4171207610,1451,1280
4171207611,1217,1039
4171207612,1147,1025
4171207613,891,778
4171207614,1494,1401
4171207615,874,801
4171107616,1166,1081
4171107617,1898,1686
4171107618,1521,1404
4171107619,1770,1484
4171107620,1745,1599
4171107621,1129,1023
4171107622,786,659
4171107623,1413,1171
4171107624,926,849
4171107625,891,822
4171107626,1177,1057
4171107627,893,723
4171107628,1020,937
4171107629,645,570
4171107630,1006,832
4171107631,722,609
4171107632,1278,1139
4171107633,1091,806
4171107634,885,740
4171107635,857,777
4171107636,1194,1085
4171107637,1442,1262
4171107638,984,917
4171107639,971,892
4171107640,911,821
4171107641,882,767
4171107642,1344,1202
4171107643,908,754
4171107644,967,775
4171107645,929,810
4171107646,991,919
4171107647,1720,1591
4171107648,1274,986
4171107649,864,694
4171107650,880,769
4171107651,1078,934
4171107652,1075,905
4171107653,751,695
4171107654,1421,1236
4171107655,1266,1196
4171207656,1124,909
4171207657,1278,1183
2181107700,941,877
2181107701,577,533
2181107702,414,383
2181107703,472,450
2181107704,369,343
2181107705,693,628
4181107706,202,183
4181107707,669,620
4181107708,701,624
2181007800,897,846
2181007801,856,784
2181007802,1029,919
2181007803,1017,942
2181007804,1282,1192
2181007805,489,460
2181007806,1335,1199
2181007807,1177,1090
2181007808,1813,1599
2181007809,1256,1166
2181007810,1055,982
2181007811,1338,1258
2181007812,1284,1199
2181007813,1020,876
2181007814,1167,1080
2181007815,852,764
2181007816,1197,1101
2181007817,827,780
2181007818,1071,999
2181007819,920,843
2181007820,720,671
2181007821,1089,993
2181007822,1877,1602
2181007823,1316,1143
2181007824,1158,1026
2181007825,639,604
2181007826,888,812
2181007827,927,832
2181007828,728,659
2181007829,721,633
2181007830,662,566
2181007831,778,661
2181007832,369,300
2181007833,602,505
2181007834,371,314
2181007835,233,198
2181007836,517,446
2181007837,779,644
2181007838,437,387
2181007839,621,580
2181007840,581,531
2181007841,742,676
2181007842,1163,1076
2181007843,1345,1233
2181007844,707,640
2181007845,823,727
2181007846,1070,866
2181007847,664,493
2181007848,631,575
2181007849,370,323
2181007850,702,657
2181007851,1090,996
2181007852,1136,1029
2181007853,850,746
2181307854,1011,851
2181307855,852,757
2181307856,635,591
2181307857,876,831
2181307858,978,933
2181307859,863,824
2181307860,685,646
2181307861,630,591
2181307862,699,651
2181307863,795,744
2181307864,645,597
2181307865,662,599
2181307866,856,765
2181307867,799,729
2181307868,893,852
2181307869,587,556
2181307870,727,608
2181307871,771,693
2181307872,701,563
2181307873,463,431
2181307874,1014,904
2181307875,470,321
2181307876,586,419
2181307877,662,602
2181307878,681,569
2181307879,638,545
2181307880,879,644
2181307881,667,603
2181307882,702,644
2181307883,848,789
2181307884,857,767
2181307885,634,604
2181307886,831,762
2181307887,1029,960
2181307888,873,824
2161307900,518,476
2161307901,714,651
2161307902,312,282
2181307903,732,671
2181307904,530,490
2181307905,292,265
2181307906,578,536
2181307908,1006,924
2181307909,577,536
2181307910,826,748
2181307911,935,886
2181107912,1178,1110
2181107913,698,653
2181307914,638,578
2181307915,431,374
2181107916,512,451
2181107917,1410,1307
2181107918,1237,1134
2181307919,1201,1080
